,student,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
175,942,9.0,0.0,0.0,2.4,0.0,0.0,0.0,5.1,0
176,946,2.0,0.0,0.0,2.6,2.0,0.0,0.0,1.2,0
177,948,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.1,0
179,976,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.5,0
181,979,6.0,0.0,0.0,2.7,3.0,0.0,0.0,3.2,1
182,982,0.0,0.0,3.0,0.0,2.0,0.0,3.0,2.5,0
186,990,8.0,0.0,1.0,2.9,2.0,0.0,0.0,2.0,0
187,991,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.4,0
188,994,2.0,0.0,0.0,2.3,0.0,0.0,0.0,5.1,0
189,995,4.0,1.0,1.0,3.1,6.0,0.0,0.0,2.6,1
191,999,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.5,0
192,1000,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0
197,1009,3.0,0.0,0.0,1.6,3.0,0.0,0.0,1.9,1
198,1011,0.0,0.0,3.0,0.0,11.0,3.0,0.0,2.8,0
199,1012,1.0,1.0,1.0,3.8,3.0,0.0,0.0,1.7,1
201,1018,3.0,0.0,2.0,2.2,4.0,1.0,0.0,2.3,0
202,1022,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.4,0
203,1025,4.0,0.0,0.0,2.0,3.0,0.0,0.0,2.3,1
204,1034,5.0,0.0,0.0,1.6,6.0,0.0,0.0,1.6,1
205,1036,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.5,0
207,1040,1.0,0.0,1.0,2.3,1.0,1.0,0.0,3.6,0
211,1067,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0
213,1074,9.0,0.0,2.0,1.8,11.0,0.0,2.0,2.3,1
216,1086,5.0,0.0,1.0,1.9,5.0,0.0,0.0,1.7,0
220,1095,5.0,0.0,0.0,1.9,3.0,0.0,0.0,1.5,0
221,1097,19.0,0.0,0.0,3.4,6.0,0.0,0.0,2.4,1
223,1099,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0
224,1100,6.0,0.0,0.0,1.8,6.0,0.0,0.0,1.8,1
225,1101,4.0,0.0,2.0,1.6,0.0,0.0,2.0,0.0,0
226,1102,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0
227,1103,1.0,0.0,2.0,2.7,1.0,0.0,0.0,2.0,0
228,1104,0.0,0.0,3.0,0.0,9.0,0.0,3.0,2.9,0
234,1119,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.3,0
235,1121,2.0,0.0,4.0,2.5,3.0,0.0,1.0,2.1,0
236,1122,1.0,1.0,0.0,3.6,2.0,1.0,0.0,3.1,0
237,1126,0.0,0.0,5.0,0.0,4.0,0.0,2.0,1.8,0
242,1166,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.2,0
246,1172,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0
247,1174,6.0,0.0,0.0,1.5,4.0,0.0,1.0,1.4,1
253,1192,7.0,0.0,0.0,1.9,4.0,0.0,0.0,2.0,1
255,1198,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.6,0
257,1200,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0
258,1202,2.0,0.0,1.0,1.5,1.0,0.0,3.0,1.7,0
259,1206,0.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,0
260,1209,3.0,0.0,3.0,1.6,5.0,0.0,1.0,1.2,1
262,1213,6.0,0.0,0.0,1.8,5.0,1.0,0.0,2.5,0
266,1225,6.0,0.0,0.0,1.4,10.0,0.0,0.0,2.8,1
268,1229,1.0,2.0,0.0,4.2,2.0,1.0,0.0,2.8,1
270,1235,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0
274,1273,6.0,0.0,0.0,1.4,7.0,0.0,0.0,1.3,0
280,1294,1.0,0.0,0.0,2.3,0.0,0.0,0.0,5.1,0
285,1305,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.1,0
289,1312,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.8,0
295,1324,3.0,0.0,0.0,1.8,2.0,0.0,0.0,1.4,0
298,1329,3.0,0.0,0.0,1.8,0.0,0.0,0.0,5.1,0
299,1337,1.0,0.0,0.0,1.0,6.0,0.0,0.0,2.6,0
313,1383,1.0,0.0,0.0,3.7,3.0,0.0,0.0,2.2,0
343,1528,12.0,0.0,0.0,1.5,6.0,0.0,0.0,1.8,1
214,918,0.0,0.0,0.0,5.1,2.0,0.0,0.0,1.2,1
