,student,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
100,729,4.0,0.0,0.0,1.1,5.0,0.0,0.0,1.3,6.0,0.0,0.0,1.7,1
101,730,6.0,0.0,0.0,1.4,4.0,0.0,0.0,1.6,3.0,0.0,0.0,1.3,1
102,731,6.0,0.0,0.0,2.7,5.0,0.0,0.0,2.1,14.0,0.0,0.0,3.0,1
103,734,1.0,0.0,0.0,1.7,1.0,0.0,0.0,2.7,0.0,0.0,0.0,5.1,0
105,738,1.0,0.0,0.0,1.7,1.0,3.0,0.0,4.5,2.0,0.0,0.0,2.2,0
106,740,9.0,0.0,0.0,3.1,4.0,0.0,0.0,2.7,3.0,0.0,0.0,2.6,1
107,742,5.0,0.0,0.0,1.7,3.0,0.0,0.0,2.4,5.0,0.0,0.0,1.2,1
109,744,3.0,0.0,0.0,2.7,4.0,1.0,0.0,2.7,5.0,0.0,0.0,2.1,0
110,780,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.8,5.0,0.0,0.0,1.9,1
111,781,4.0,1.0,0.0,3.2,5.0,0.0,0.0,1.7,5.0,0.0,0.0,1.9,1
112,783,5.0,0.0,0.0,2.4,5.0,0.0,0.0,1.3,5.0,0.0,0.0,1.5,1
113,787,5.0,0.0,0.0,2.9,5.0,0.0,0.0,2.7,3.0,0.0,0.0,3.3,1
114,788,3.0,1.0,0.0,3.4,3.0,0.0,0.0,1.6,7.0,1.0,0.0,2.8,1
115,790,4.0,0.0,0.0,1.3,4.0,0.0,0.0,1.2,12.0,0.0,0.0,1.8,1
117,792,6.0,0.0,0.0,2.4,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.6,1
118,793,5.0,0.0,0.0,1.4,4.0,0.0,0.0,1.7,3.0,0.0,0.0,1.8,1
120,796,4.0,0.0,0.0,1.9,3.0,0.0,0.0,1.7,0.0,0.0,0.0,5.1,1
121,797,3.0,0.0,0.0,2.2,3.0,0.0,0.0,2.2,6.0,0.0,0.0,2.2,1
122,798,2.0,1.0,0.0,3.8,3.0,1.0,0.0,2.4,4.0,1.0,0.0,3.3,0
123,799,6.0,0.0,0.0,3.0,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.6,1
124,805,2.0,0.0,0.0,1.3,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
126,809,4.0,0.0,0.0,1.2,4.0,0.0,0.0,1.2,13.0,0.0,0.0,1.9,1
130,822,2.0,2.0,0.0,3.8,3.0,0.0,0.0,2.0,4.0,1.0,0.0,3.3,0
131,828,1.0,0.0,0.0,1.3,3.0,0.0,0.0,2.9,3.0,0.0,0.0,2.9,0
132,830,6.0,0.0,0.0,2.3,6.0,0.0,0.0,1.2,6.0,0.0,0.0,2.1,1
134,832,6.0,0.0,0.0,2.9,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.0,1
135,833,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,2.9,0
136,837,6.0,0.0,0.0,1.1,5.0,1.0,0.0,2.0,6.0,0.0,0.0,1.4,1
137,840,3.0,0.0,0.0,1.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
138,842,1.0,0.0,0.0,1.3,2.0,1.0,0.0,3.0,2.0,1.0,0.0,3.1,0
141,847,6.0,0.0,0.0,1.7,6.0,0.0,0.0,1.4,5.0,0.0,0.0,1.6,1
142,848,1.0,0.0,0.0,4.0,2.0,1.0,0.0,3.9,0.0,0.0,0.0,5.1,0
144,888,4.0,0.0,0.0,2.7,3.0,0.0,0.0,2.6,3.0,0.0,0.0,2.7,1
145,891,6.0,0.0,0.0,2.9,5.0,0.0,0.0,2.3,6.0,0.0,0.0,2.8,1
146,894,3.0,0.0,0.0,3.3,4.0,1.0,0.0,2.9,1.0,0.0,0.0,1.7,1
147,897,5.0,1.0,0.0,2.6,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.1,1
148,899,15.0,0.0,0.0,2.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.1,0
149,902,7.0,0.0,0.0,3.1,3.0,3.0,0.0,3.7,3.0,1.0,0.0,3.1,0
153,911,3.0,0.0,1.0,1.5,4.0,0.0,0.0,1.6,4.0,0.0,0.0,1.7,1
154,915,4.0,0.0,0.0,2.5,6.0,0.0,0.0,2.4,5.0,0.0,0.0,2.5,1
155,916,0.0,0.0,3.0,0.0,10.0,0.0,0.0,2.4,2.0,0.0,0.0,1.2,0
156,918,4.0,0.0,0.0,1.8,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,1
157,920,4.0,0.0,0.0,3.0,5.0,0.0,0.0,2.7,7.0,1.0,0.0,3.2,1
159,937,2.0,1.0,0.0,3.7,3.0,0.0,0.0,2.4,3.0,0.0,0.0,2.7,0
162,979,3.0,1.0,2.0,2.8,6.0,0.0,0.0,2.7,3.0,0.0,0.0,3.2,1
