,student,no_passed_courses_4,no_of_failed_courses_4,no_of_unattempted_courses_4,avg_grade_all_courses_4,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
69,617,2.0,1.0,0.0,3.2,1.0,2.0,0.0,4.3,3.0,0.0,0.0,2.9,3.0,1.0,0.0,2.9,1
70,618,0.0,1.0,0.0,5.0,4.0,1.0,0.0,3.0,6.0,0.0,0.0,2.2,5.0,0.0,0.0,2.5,0
71,619,6.0,0.0,0.0,2.0,7.0,0.0,0.0,2.2,6.0,0.0,0.0,2.0,4.0,0.0,0.0,1.7,1
72,620,0.0,2.0,0.0,5.0,1.0,1.0,0.0,3.4,2.0,0.0,0.0,3.8,1.0,1.0,0.0,3.5,0
73,622,2.0,1.0,0.0,3.8,5.0,0.0,0.0,3.1,1.0,1.0,0.0,3.6,6.0,0.0,0.0,1.9,1
74,623,2.0,0.0,0.0,2.5,4.0,0.0,0.0,2.0,3.0,0.0,0.0,2.4,4.0,0.0,0.0,1.8,1
75,625,2.0,0.0,0.0,1.5,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,1
76,628,3.0,0.0,0.0,2.8,4.0,0.0,0.0,3.2,3.0,0.0,0.0,2.7,3.0,0.0,0.0,2.1,1
77,632,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.5,3.0,0.0,0.0,2.1,2.0,0.0,0.0,1.4,1
78,695,1.0,2.0,0.0,4.1,4.0,1.0,0.0,3.9,3.0,0.0,0.0,3.3,8.0,2.0,0.0,3.1,0
79,696,0.0,2.0,0.0,5.0,1.0,2.0,0.0,4.6,2.0,1.0,0.0,3.3,3.0,2.0,0.0,3.5,0
80,698,6.0,0.0,0.0,2.7,6.0,0.0,0.0,2.2,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.3,1
81,705,1.0,1.0,0.0,4.2,2.0,0.0,0.0,3.5,2.0,1.0,0.0,4.0,3.0,1.0,0.0,3.4,0
82,706,0.0,1.0,0.0,5.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
83,708,0.0,2.0,0.0,5.0,1.0,0.0,0.0,3.7,4.0,0.0,0.0,2.9,4.0,0.0,2.0,2.6,0
84,710,4.0,0.0,0.0,1.6,5.0,0.0,0.0,1.4,4.0,0.0,0.0,1.5,4.0,0.0,0.0,1.1,1
85,711,5.0,0.0,0.0,1.1,4.0,0.0,0.0,1.2,3.0,0.0,0.0,1.3,3.0,0.0,0.0,1.0,1
