;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;status
139;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
140;1.3;1.3;1.0;3.0;1.7;2.0;5.1;5.1;1.0;5.1;5.1;5.1;0
141;5.1;2.0;2.0;5.1;5.1;5.1;5.1;5.1;2.0;5.1;5.1;5.1;1
142;5.1;4.0;1.7;5.1;1.7;4.0;5.1;5.1;3.7;5.1;5.1;5.1;1
143;5.1;5.1;2.7;5.1;2.0;5.1;5.1;5.1;3.3;5.1;5.1;5.1;1
144;5.1;1.0;1.7;1.0;1.3;5.1;5.1;5.1;2.3;5.1;5.1;5.1;0
145;5.1;5.1;5.1;5.1;2.0;5.1;5.1;5.1;1.7;5.1;5.1;5.1;0
146;3.7;1.7;3.3;3.3;1.7;5.0;5.1;5.1;5.0;5.0;5.1;5.1;0
147;5.1;1.7;1.7;3.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
148;1.7;1.0;5.1;2.3;1.7;5.1;5.1;5.1;1.3;5.1;5.1;5.1;1
149;4.0;1.0;2.0;5.1;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;1
150;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
151;3.3;2.3;1.7;3.0;1.3;2.7;5.1;1.0;5.0;5.1;5.1;5.1;1
152;5.1;4.0;5.1;5.1;1.3;4.0;5.1;1.3;2.7;5.1;5.1;5.1;1
153;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
154;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
155;3.0;3.0;2.7;3.7;1.7;4.0;5.1;2.0;5.1;5.0;4.0;5.1;0
156;5.0;5.1;1.7;5.1;5.0;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
157;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
158;2.0;1.0;2.7;1.7;1.3;5.1;1.0;1.3;5.1;1.3;1.0;2.0;0
159;3.7;5.1;1.7;3.0;2.0;5.0;5.1;1.3;3.3;5.1;5.1;5.1;1
160;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
161;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
162;1.3;1.7;2.0;3.0;1.0;3.0;1.0;1.7;5.1;3.3;3.3;5.1;0
163;3.0;1.7;2.3;1.3;1.3;1.7;4.0;5.1;2.7;2.3;1.3;5.1;1
164;5.1;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
165;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
166;3.3;5.1;3.3;5.0;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
167;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
168;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
169;3.0;1.0;2.3;1.3;1.3;2.3;1.3;1.7;5.1;1.7;1.7;5.1;0
170;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
171;5.1;3.3;3.0;5.1;5.1;4.0;5.1;5.1;2.3;5.1;5.1;5.1;1
172;2.0;2.0;2.7;1.7;2.3;2.7;5.1;2.0;1.7;5.1;2.7;5.1;0
173;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
174;1.7;1.0;1.7;2.7;1.3;2.0;3.3;5.1;2.7;5.1;5.1;5.1;1
175;2.3;2.7;2.3;4.0;1.3;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
176;4.0;5.1;5.1;5.1;2.0;5.1;5.1;1.3;5.1;5.1;5.1;5.1;1
177;1.0;1.0;1.3;1.7;1.7;1.0;1.3;1.3;5.1;1.3;2.0;5.1;0
178;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
179;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
180;2.3;3.0;1.7;3.7;1.7;3.3;5.1;1.7;2.3;5.0;2.3;5.1;0
181;5.1;3.3;2.7;5.0;2.0;5.1;5.1;1.3;5.1;5.1;3.7;5.1;1
182;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
183;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
184;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
185;5.1;5.1;2.0;5.1;5.0;5.1;5.1;5.1;5.0;5.1;5.1;5.1;1
186;1.7;5.1;5.1;3.0;2.3;5.1;5.1;5.0;5.1;5.1;5.1;5.1;1
187;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
188;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;2.0;4.0;5.1;5.1;0
189;3.0;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
190;5.1;1.3;5.0;5.0;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
191;5.1;5.1;5.0;2.3;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
192;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
193;5.1;3.3;1.0;5.1;5.1;5.1;5.1;5.1;2.0;5.1;5.1;5.1;1
194;3.0;5.0;1.7;5.1;1.7;5.1;5.1;5.1;2.0;5.1;5.1;5.1;1
195;5.1;4.0;2.3;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
196;3.3;1.0;2.0;3.7;2.0;2.0;5.1;5.1;5.1;5.1;5.1;5.1;1
197;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
198;1.7;2.3;5.1;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
199;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
200;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
201;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
202;5.1;3.7;5.1;4.0;2.0;1.3;5.1;1.3;5.1;5.1;4.0;5.1;1
203;1.0;2.3;1.7;2.3;1.7;2.0;5.0;2.0;2.3;2.3;1.7;5.1;1
204;1.7;5.0;5.1;2.3;5.0;2.7;5.1;5.1;5.1;5.1;3.0;5.1;1
205;5.1;5.1;3.0;5.1;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;1
206;1.7;2.7;1.3;3.3;5.1;5.1;2.7;5.1;2.3;5.1;5.1;5.1;1
207;2.7;3.3;2.0;2.7;2.0;2.7;5.1;5.1;5.1;2.7;3.7;5.1;0
208;5.1;5.1;5.1;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
209;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
210;2.0;3.3;1.7;3.0;2.3;2.0;5.1;5.1;5.1;1.7;3.0;5.1;0
211;5.1;5.1;2.3;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
