;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
213;3.0;3.0;2.7;3.7;1.7;4.0;0
214;5.1;5.1;5.1;5.1;5.0;5.1;1
215;5.1;5.1;5.1;5.1;5.1;5.1;1
216;2.0;1.0;2.7;1.7;1.3;5.1;0
217;5.1;5.1;5.1;5.1;5.1;5.1;1
218;5.1;5.1;5.1;3.0;2.0;5.1;1
219;5.1;5.1;5.1;5.1;5.1;5.1;1
220;5.1;5.1;5.1;5.1;5.1;5.1;1
221;5.1;5.1;5.1;5.1;5.1;5.1;1
222;1.3;1.7;2.0;3.0;1.0;3.0;0
223;3.0;1.7;2.3;1.3;1.3;1.7;1
224;5.1;5.1;2.3;5.1;5.1;5.1;1
225;5.1;5.1;5.1;5.1;5.1;5.1;1
226;5.1;5.1;5.1;5.1;5.1;5.1;1
227;5.1;5.1;5.1;5.1;5.1;5.1;1
228;3.3;5.1;5.1;5.1;5.1;5.0;1
229;5.1;5.1;5.1;5.1;5.1;5.1;1
230;5.1;5.1;5.1;5.1;5.1;5.1;1
231;5.1;5.1;5.1;5.1;5.1;5.1;1
232;5.1;1.0;2.3;1.3;1.3;5.1;0
233;5.1;5.1;5.1;5.1;5.1;5.1;1
234;5.1;3.3;3.0;5.1;5.1;4.0;1
235;5.1;2.0;2.7;1.7;2.3;5.1;0
236;5.0;5.1;5.1;5.1;5.1;5.1;1
237;5.1;5.1;5.1;5.1;5.1;5.1;1
238;5.1;1.0;1.7;5.1;1.3;5.1;1
239;5.1;5.1;5.1;5.1;5.1;5.1;1
240;2.3;2.7;2.3;4.0;1.3;3.3;1
241;5.1;5.1;5.1;5.1;5.1;5.1;1
242;5.1;5.1;5.1;5.1;2.0;5.1;1
243;1.0;1.0;1.3;1.7;1.7;1.0;0
244;5.1;5.1;5.1;5.1;5.1;5.1;1
245;5.1;5.1;5.1;5.1;5.1;5.1;1
246;2.3;3.0;1.7;5.0;1.7;3.3;0
247;5.1;5.1;5.1;5.1;5.1;3.7;1
248;5.1;5.1;5.1;5.1;5.1;5.1;1
249;5.1;5.0;2.7;5.1;2.0;5.1;1
250;5.1;5.1;5.1;5.1;5.1;5.1;1
251;5.1;5.1;5.1;5.1;5.1;5.1;1
252;5.1;5.1;5.1;5.1;5.1;5.1;1
253;5.1;5.1;5.1;5.1;5.1;5.1;1
254;5.1;5.1;2.0;5.1;5.0;5.1;1
255;5.1;5.1;5.1;5.1;2.3;5.1;1
256;5.1;5.1;5.1;5.1;5.1;5.1;1
257;5.1;5.1;5.1;5.1;5.1;5.1;1
258;5.1;5.1;5.1;5.1;5.1;5.1;1
259;5.1;5.1;5.1;5.1;5.1;5.1;0
260;5.1;2.0;5.1;5.1;5.1;5.1;1
