;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;M01_3_N;M02_3_N;M03_3_N;M04_3_N;M05_3_N;M06_3_N;M07_3_N;M08_3_N;M09_3_N;M10_3_N;M11_3_N;M12_3_N;M13_3_N;M14_3_N;M15_3_N;M16_3_N;M17_3_N;status
83;5.1;5.1;5.1;5.1;5.1;5.1;3.3;5.0;2.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.3;5.0;2.7;5.1;5.1;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
84;2.3;3.3;1.0;3.0;2.0;4.0;2.3;3.3;1.0;3.0;2.0;4.0;5.1;5.1;5.1;5.1;5.1;5.1;2.3;3.3;1.0;3.0;2.0;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
85;1.7;2.3;1.7;5.1;1.3;5.1;1.7;2.3;1.7;2.0;1.3;2.3;5.1;5.1;5.0;5.0;5.1;5.1;1.7;2.3;1.7;2.0;1.3;0.0;0.0;5.1;1.7;2.7;5.1;5.1;5.1;5.0;5.1;1.3;5.1;0
86;4.0;3.0;1.7;4.0;2.3;5.0;4.0;3.0;1.7;4.0;2.3;4.0;1.3;5.1;2.0;3.0;5.1;5.1;4.0;3.0;1.7;4.0;2.3;0.0;0.0;5.1;2.0;3.0;5.0;5.1;5.0;2.0;5.1;4.0;5.1;1
87;2.3;1.3;5.1;2.7;2.3;5.1;2.3;1.3;5.1;2.7;2.3;5.1;1.0;1.3;5.1;5.1;3.3;5.1;2.3;1.3;5.1;2.7;2.3;0.0;0.0;1.3;5.1;1.3;3.3;5.1;3.7;5.1;5.1;1.3;2.3;0
88;5.1;1.0;5.1;3.0;1.7;5.1;3.0;1.0;1.0;3.0;1.7;2.0;5.1;5.1;5.1;5.1;5.1;5.1;3.0;1.0;1.0;3.0;1.7;0.0;0.0;5.1;5.1;5.1;1.7;5.1;5.1;3.7;5.1;1.3;3.0;1
89;3.0;1.3;1.3;2.3;5.1;3.0;3.0;1.3;1.3;2.3;5.1;3.0;2.3;5.1;1.7;1.7;1.3;5.1;3.0;1.3;1.3;2.3;1.0;0.0;0.0;5.1;1.7;1.7;1.3;5.1;3.7;5.1;5.1;1.3;5.1;0
90;5.1;1.7;5.1;1.0;5.1;5.1;1.3;1.7;5.1;1.0;5.1;1.3;1.7;5.1;5.1;5.1;1.0;5.1;1.3;1.7;5.1;1.0;1.3;0.0;0.0;5.1;1.0;5.1;1.0;5.1;5.1;5.1;5.1;1.7;5.1;1
91;1.3;1.0;5.1;1.0;5.1;5.1;1.3;1.0;5.1;1.0;5.1;5.1;2.7;5.1;2.0;1.3;2.0;5.1;1.3;1.0;1.0;1.0;2.0;0.0;0.0;5.1;2.0;1.3;2.0;5.1;5.1;1.0;5.1;1.0;5.1;0
92;5.1;2.3;2.7;5.1;1.7;3.7;4.0;2.3;2.7;1.3;1.7;3.7;5.1;5.1;5.1;5.0;5.1;5.1;4.0;2.3;2.7;1.3;1.7;0.0;0.0;5.1;2.7;5.0;4.0;5.1;5.1;5.1;5.1;5.1;5.0;1
93;4.0;3.0;5.1;5.0;1.3;5.1;4.0;3.0;1.7;5.0;1.3;5.1;5.1;1.3;5.1;5.1;5.1;5.1;4.0;3.0;1.7;5.0;1.3;0.0;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
94;5.1;3.0;5.1;5.1;1.3;5.1;5.1;3.0;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.0;5.1;5.1;1.3;5.1;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
95;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.0;5.1;5.0;5.0;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
96;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
97;2.3;1.0;5.1;1.0;1.0;1.3;2.3;1.0;1.0;1.0;1.0;1.3;1.0;1.3;5.1;1.3;1.0;5.1;2.3;1.0;1.0;1.0;1.0;0.0;0.0;1.3;5.1;1.3;1.0;5.1;5.1;3.3;2.0;1.3;2.7;0
98;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
99;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.0;2.3;5.0;5.1;5.0;5.1;2.3;3.0;5.0;5.1;5.1;5.1;5.0;2.3;5.0;5.1;0.0;0.0;2.3;3.0;5.0;5.1;5.1;5.1;5.1;3.3;5.1;5.1;1
100;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
101;3.3;5.0;3.7;5.0;2.0;5.0;3.3;3.7;3.7;4.0;2.0;5.0;5.1;5.1;3.3;4.0;5.1;5.1;3.3;3.7;3.7;4.0;2.0;0.0;0.0;5.1;3.3;4.0;5.1;5.1;5.0;5.1;5.1;5.1;5.1;1
102;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
103;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
104;5.1;5.1;2.3;5.1;5.1;5.1;5.1;1.7;2.3;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.7;2.3;5.1;5.1;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
105;5.1;5.1;2.7;4.0;1.3;3.3;5.1;5.1;2.7;4.0;1.3;3.3;5.1;2.0;3.0;5.1;3.7;5.1;4.0;5.1;2.7;4.0;1.3;0.0;0.0;2.0;3.0;5.1;3.7;5.1;5.1;5.1;5.1;1.3;5.1;1
106;2.3;5.1;5.1;5.1;5.1;5.1;2.3;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.3;1.3;1.3;1.7;1.7;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
107;2.7;5.1;5.1;5.0;5.1;2.7;2.7;5.1;5.1;2.3;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;2.7;2.0;5.1;2.3;5.1;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
108;2.3;2.7;2.3;1.7;2.0;4.0;2.3;2.7;2.3;1.7;2.0;4.0;3.3;1.7;1.7;5.0;5.0;5.1;2.3;2.7;2.3;1.7;2.0;0.0;0.0;1.7;1.7;1.7;1.7;5.1;5.1;3.7;5.1;1.7;5.1;0
109;3.3;5.1;5.1;5.1;5.1;3.0;3.3;5.1;5.1;5.1;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;3.3;5.1;5.1;5.1;5.1;5.1;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.0;5.1;1
110;3.7;5.0;1.0;5.0;1.3;3.0;3.7;1.0;1.0;5.0;1.3;3.0;3.0;1.3;1.7;5.1;5.1;5.1;3.7;1.0;1.0;5.0;1.3;0.0;0.0;1.3;1.7;5.0;5.1;5.1;5.1;5.1;5.1;5.0;5.1;0
111;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
112;5.1;1.3;1.0;5.1;5.1;5.1;1.3;1.3;1.0;3.0;1.7;2.0;5.1;5.1;1.0;5.1;5.1;5.1;1.3;1.3;1.0;3.0;1.7;5.1;2.0;2.0;1.0;2.0;3.3;1.3;5.1;5.1;5.1;5.1;5.1;0
113;5.1;4.0;1.7;5.1;5.1;5.1;5.1;4.0;1.7;5.1;1.7;4.0;5.1;5.1;3.7;5.1;5.1;5.1;3.0;4.0;1.7;5.1;1.7;0.0;0.0;1.7;3.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
114;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.7;5.1;2.0;5.1;5.1;5.1;3.3;5.1;5.1;5.1;5.1;5.1;2.7;5.1;2.0;0.0;0.0;5.1;3.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
115;5.1;1.0;1.7;5.1;5.1;5.1;5.1;1.0;1.7;1.0;1.3;5.1;5.1;5.1;2.3;5.1;5.1;5.1;1.7;1.0;1.7;1.0;1.3;0.0;0.0;1.0;2.3;5.1;1.7;5.1;5.1;5.1;1.3;1.0;5.1;0
116;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.0;5.1;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;1.3;5.1;2.0;0.0;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
117;5.1;1.7;5.0;5.1;5.1;5.1;3.7;1.7;3.3;3.3;1.7;5.0;5.1;5.1;5.0;5.0;5.1;5.1;3.7;1.7;3.3;3.3;1.7;0.0;0.0;5.0;5.0;5.0;5.0;5.1;5.1;5.1;5.1;5.1;5.1;0
118;5.1;1.7;5.1;5.1;5.1;5.1;5.1;1.7;1.7;3.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.7;1.7;3.7;5.1;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
119;3.3;2.3;1.7;3.0;1.3;2.7;3.3;2.3;1.7;3.0;1.3;2.7;5.1;1.0;5.0;5.1;5.1;5.1;3.3;2.3;1.7;3.0;1.3;0.0;0.0;1.0;2.3;5.1;5.1;5.1;5.1;2.7;5.1;2.0;5.1;1
