;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
167;5.1;5.1;5.1;5.1;5.1;5.1;1
168;2.0;5.1;1.0;5.1;5.1;2.7;1
169;1.3;2.3;5.1;5.1;1.0;5.1;1
170;3.3;4.0;1.0;5.0;2.3;3.3;1
171;5.1;5.1;5.1;5.1;5.1;5.1;1
172;2.0;5.1;5.1;5.1;5.1;2.3;1
173;5.1;5.1;5.1;3.7;5.1;4.0;1
174;5.1;5.1;5.1;5.1;5.1;5.1;1
175;5.1;5.1;5.1;5.1;5.1;5.1;1
176;1.3;1.3;5.1;1.7;2.0;1.7;0
177;2.3;1.7;2.3;3.0;2.3;1.7;1
178;2.3;5.1;5.1;5.1;5.1;2.3;1
179;5.1;5.1;5.1;5.1;5.1;5.1;1
180;5.1;5.1;5.1;5.1;5.1;5.1;1
181;2.3;5.1;1.3;5.1;5.1;3.0;1
182;5.1;5.1;5.1;5.1;5.1;5.1;1
183;5.1;5.1;5.1;5.1;5.1;5.1;1
184;5.1;5.1;5.1;5.1;5.1;5.1;1
185;5.1;5.1;2.7;4.0;5.1;5.1;1
186;5.1;5.1;5.1;5.1;5.1;5.1;1
187;5.1;5.1;5.1;1.7;5.1;5.1;1
188;5.0;5.1;5.1;5.0;5.1;5.1;1
189;5.1;5.1;5.1;5.1;5.1;5.1;1
190;5.1;5.1;5.1;5.1;5.1;5.1;1
191;5.1;5.1;5.1;5.1;5.1;5.1;1
192;5.1;5.1;5.1;5.1;5.1;5.1;1
193;3.3;5.1;5.1;5.0;5.1;2.7;1
194;5.1;5.1;5.1;5.1;5.1;5.1;1
195;5.1;5.1;5.1;5.1;5.1;5.1;1
196;2.3;3.3;5.1;5.1;5.1;5.1;1
197;5.1;5.1;5.1;5.1;5.1;5.1;1
198;5.1;5.1;5.1;5.1;5.1;5.1;1
199;5.1;5.1;5.1;5.1;5.1;5.1;1
200;5.1;5.1;5.1;5.1;5.1;5.1;1
201;5.1;5.1;5.1;5.1;5.1;5.1;1
202;1.0;1.0;5.1;5.1;1.7;1.3;1
203;5.1;5.1;5.1;5.1;5.1;5.1;1
204;5.1;5.1;5.1;5.1;5.1;5.1;0
205;2.3;5.1;2.3;5.1;5.1;5.1;1
206;5.1;5.1;5.1;5.1;5.1;5.1;1
207;2.7;1.3;5.1;5.1;2.0;5.1;1
208;3.0;3.7;2.0;3.0;2.7;3.7;0
209;2.3;2.0;5.1;2.7;5.1;2.0;1
210;5.1;5.1;5.1;5.1;5.1;5.1;1
211;5.1;5.1;5.1;5.1;5.1;5.1;1
212;5.1;5.1;5.1;5.1;5.1;5.1;0
213;1.3;1.3;1.0;5.1;5.1;1.0;1
214;5.1;5.1;5.1;5.1;5.1;5.1;1
215;5.1;5.1;1.0;5.1;5.1;5.1;1
216;5.1;5.1;5.1;5.1;5.1;5.1;1
217;5.1;5.1;5.1;2.0;5.1;5.1;1
218;5.1;5.1;5.1;5.1;5.1;5.1;1
219;5.1;5.1;5.1;5.1;5.1;3.3;1
220;1.7;1.3;2.0;2.3;2.3;1.3;1
221;5.1;5.1;5.1;5.1;5.1;5.1;1
222;5.1;2.0;5.1;5.1;5.1;5.1;1
223;1.0;1.3;1.0;1.3;1.0;1.3;0
224;2.3;1.3;2.3;5.1;1.3;5.1;1
225;1.0;1.0;1.0;5.1;5.1;1.0;1
226;5.1;5.1;5.1;5.1;2.3;5.1;1
227;2.3;3.7;1.0;3.0;2.3;3.7;1
228;5.1;5.1;5.1;5.1;5.1;5.1;1
229;5.1;5.1;5.1;5.1;5.1;5.1;1
230;5.1;5.1;5.1;5.1;5.1;5.1;1
231;5.1;5.1;1.3;5.1;5.1;5.1;1
232;5.1;5.1;5.1;5.1;5.1;5.1;1
233;1.3;1.3;5.1;5.1;5.1;1.7;1
234;5.1;5.1;1.0;3.0;5.1;5.1;1
235;5.1;5.1;5.1;5.1;5.1;5.1;1
236;5.1;5.1;5.1;5.1;5.1;5.1;1
237;5.1;5.1;5.1;5.1;5.1;5.1;1
238;5.1;5.1;5.1;5.1;5.1;5.1;1
239;5.1;5.1;5.1;5.1;5.1;5.1;1
240;5.1;5.1;5.1;5.1;5.1;5.1;1
241;5.1;5.1;5.1;5.1;5.1;5.1;1
242;5.1;5.1;5.1;5.1;5.1;5.1;1
243;5.1;5.1;5.1;5.1;5.1;3.3;1
244;5.1;5.1;5.1;5.1;5.1;5.1;1
245;5.1;5.1;5.1;1.7;5.1;5.1;1
246;5.1;5.1;5.1;5.1;5.1;5.1;1
247;5.1;5.1;5.1;5.1;5.1;5.1;1
248;5.1;5.1;5.1;5.1;5.1;5.1;1
249;5.1;5.1;5.1;5.1;5.1;5.1;1
250;5.1;5.1;5.1;5.1;5.1;5.1;1
251;2.3;5.1;2.3;2.3;1.7;2.3;1
252;5.1;5.1;5.1;5.1;5.1;5.1;1
253;5.1;5.1;5.1;5.1;5.1;5.1;1
254;5.1;5.1;5.1;5.1;5.1;5.1;1
255;5.1;5.1;5.1;5.1;5.1;5.1;1
256;5.1;5.1;5.1;5.1;5.1;5.1;1
257;5.1;5.1;5.1;5.1;5.1;5.1;1
258;5.1;5.1;5.1;5.1;5.1;5.1;1
259;5.1;5.1;5.1;5.1;5.1;5.1;1
260;5.1;5.1;5.1;5.1;5.1;5.1;0
